onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.084	3.5	P_R	1.0	n/a	n/a	1.0	1.525	Phon/Phon_run-02/stereo_PR20.wav	1.0	1	1.275
4.587	4.235	P_O	1.0	n/a	n/a	1.0	1.198	Phon/Phon_run-02/PC034.wav	1.0	1	0.948
8.824	3.375	P_R	1.0	n/a	n/a	1.0	1.072	Phon/Phon_run-02/stereo_PR13.wav	1.0	1	0.8220000000000001
12.21	3.474	P_C	1.0	n/a	n/a	1.0	0.496	Phon/Phon_run-02/ContS12.wav	1.0	1	1.246
15.696	3.875	P_U	2.0	n/a	n/a	2.0	1.4580000000000002	Phon/Phon_run-02/PM025.wav	2.0	1	1.2080000000000002
19.583	3.726	P_R	1.0	n/a	n/a	1.0	1.065	Phon/Phon_run-02/stereo_PR22.wav	1.0	1	0.815
23.31900000000001	3.451	P_O	1.0	n/a	n/a	1.0	1.22	Phon/Phon_run-02/PC014.wav	1.0	1	0.97
26.772	3.779	P_C	1.0	n/a	n/a	1.0	1.0659999999999998	Phon/Phon_run-02/ContS02.wav	1.0	1	1.8159999999999998
30.558000000000003	3.821	P_U	2.0	n/a	n/a	2.0	1.5919999999999999	Phon/Phon_run-02/stereo_PU18.wav	2.0	1	1.342
34.395	3.49	P_U	2.0	n/a	n/a	2.0	1.9780000000000002	Phon/Phon_run-02/stereo_PU12.wav	2.0	1	1.728
37.897	4.38	P_C	1.0	n/a	n/a	1.0	0.431	Phon/Phon_run-02/ContS32.wav	1.0	1	1.181
42.284	4.0969999999999995	P_R	1.0	n/a	n/a	1.0	1.311	Phon/Phon_run-02/stereo_PR16.wav	1.0	1	1.061
46.38800000000001	3.5	P_O	1.0	n/a	n/a	1.0	1.225	Phon/Phon_run-02/PC022.wav	1.0	1	0.9750000000000001
49.89	4.0760000000000005	P_R	1.0	n/a	n/a	1.0	1.222	Phon/Phon_run-02/stereo_PR08.wav	1.0	1	0.972
