onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0918	4.2	S_U	2.0	n/a	n/a	1.0	2.029	Sem/Sem_run-01/stereo_1SU41A0.wav	1.0	0	1.779
5.2953	3.596	S_C	1.0	n/a	n/a	1.0	0.985	Sem/Sem_run-01/ContS29.wav	1.0	1	1.7349999999999999
8.898	3.425	S_U	2.0	n/a	n/a	2.0	1.639	Sem/Sem_run-01/stereo_2SU87A0.wav	2.0	1	1.389
12.3338	3.933	S_H	1.0	n/a	n/a	1.0	1.287	Sem/Sem_run-01/stereo_1SH13A0.wav	1.0	1	1.037
16.2699	4.323	S_H	1.0	n/a	n/a	1.0	1.6380000000000001	Sem/Sem_run-01/stereo_1SH05A0.wav	1.0	1	1.388
20.6064	4.073	S_C	1.0	n/a	n/a	1.0	1.653	Sem/Sem_run-01/ContS31.wav	1.0	1	2.403
24.6927	3.869	S_L	1.0	n/a	n/a	1.0	1.672	Sem/Sem_run-01/stereo_2SL63A0.wav	1.0	1	1.422
28.5634	3.75	S_L	1.0	n/a	n/a	1.0	1.067	Sem/Sem_run-01/stereo_1SL29A0.wav	1.0	1	0.817
32.3161	4.3660000000000005	S_U	2.0	n/a	n/a	2.0	1.653	Sem/Sem_run-01/stereo_2SU78A0.wav	2.0	1	1.403
36.6859	3.3	S_L	1.0	n/a	n/a	1.0	1.643	Sem/Sem_run-01/stereo_1SL17A0.wav	1.0	1	1.393
39.9885	3.884	S_C	1.0	n/a	n/a	1.0	1.016	Sem/Sem_run-01/ContS05.wav	1.0	1	1.766
43.8755	4.371	S_H	1.0	n/a	n/a	1.0	1.743	Sem/Sem_run-01/stereo_2SH58A0.wav	1.0	1	1.493
48.2606	4.329	S_L	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/stereo_2SL72A0.wav	n/a	0	n/a
52.5971	3.94	S_H	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/stereo_2SH57A0.wav	n/a	0	n/a
56.55	4.2	S_U	2.0	n/a	n/a	1.0	1.5130000000000001	Sem/Sem_run-01/stereo_2SU83A0.wav	1.0	0	1.263
60.753	3.474	S_C	1.0	n/a	n/a	1.0	0.37	Sem/Sem_run-01/ContS11.wav	1.0	1	1.12
64.2389	4.271	S_L	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/stereo_1SL26A0.wav	n/a	0	n/a
68.5248	3.91	S_L	1.0	n/a	n/a	2.0	1.401	Sem/Sem_run-01/stereo_1SL25A0.wav	2.0	0	1.151
72.4443	4.479	S_C	1.0	n/a	n/a	1.0	0.63	Sem/Sem_run-01/ContS25.wav	1.0	1	1.38
76.9309	3.378	S_U	2.0	n/a	n/a	2.0	2.06	Sem/Sem_run-01/stereo_2SU81A0.wav	2.0	1	1.81
80.3167	3.42	S_L	1.0	n/a	n/a	1.0	1.959	Sem/Sem_run-01/stereo_1SL27A0.wav	1.0	1	1.709
83.7479	4.3439999999999985	S_L	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/stereo_1SL30A0.wav	n/a	0	n/a
88.1008	3.909	S_L	1.0	n/a	n/a	1.0	1.4769999999999999	Sem/Sem_run-01/stereo_2SL71A0.wav	1.0	1	1.227
92.0205	3.867	S_H	1.0	n/a	n/a	1.0	2.195	Sem/Sem_run-01/stereo_1SH04A0.wav	1.0	1	1.9449999999999998
95.8902	3.828	S_U	2.0	n/a	n/a	1.0	1.7819999999999998	Sem/Sem_run-01/stereo_1SU37A0.wav	1.0	0	1.5319999999999998
99.7264	4.565	S_C	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/ContS35.wav	n/a	0	n/a
104.2964	3.3	S_U	2.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/stereo_1SU35A0.wav	n/a	0	n/a
107.5986	3.477	S_L	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/stereo_2SL65A0.wav	n/a	0	n/a
111.0845	3.83	S_H	1.0	n/a	n/a	1.0	1.615	Sem/Sem_run-01/stereo_1SH07A0.wav	1.0	1	1.365
114.9207	4.3439999999999985	S_C	1.0	n/a	n/a	1.0	0.8270000000000001	Sem/Sem_run-01/ContS07.wav	1.0	1	1.577
119.2738	3.5	S_H	1.0	n/a	n/a	2.0	1.8030000000000002	Sem/Sem_run-01/stereo_1SH03A0.wav	2.0	0	1.553
122.7765	3.919	S_U	2.0	n/a	n/a	2.0	1.78	Sem/Sem_run-01/stereo_1SU45A0.wav	2.0	1	1.53
126.697	3.5	S_H	1.0	n/a	n/a	1.0	1.235	Sem/Sem_run-01/stereo_1SH06A0.wav	1.0	1	0.9850000000000001
130.1996	3.392	S_L	1.0	n/a	n/a	1.0	1.575	Sem/Sem_run-01/stereo_2SL62A0.wav	1.0	1	1.325
133.6021	3.54	S_C	1.0	n/a	n/a	1.0	1.7519999999999998	Sem/Sem_run-01/ContS19.wav	1.0	1	2.502
137.1547	4.4	S_H	1.0	n/a	n/a	1.0	1.3359999999999999	Sem/Sem_run-01/stereo_1SH15A0.wav	1.0	1	1.086
141.5578	3.342	S_H	1.0	n/a	n/a	1.0	1.454	Sem/Sem_run-01/stereo_1SH11A0.wav	1.0	1	1.204
144.9103	3.385	S_U	2.0	n/a	n/a	2.0	1.429	Sem/Sem_run-01/stereo_1SU44A0.wav	2.0	1	1.179
148.2972	3.4160000000000004	S_H	1.0	n/a	n/a	1.0	1.358	Sem/Sem_run-01/stereo_2SH56A0.wav	1.0	1	1.108
151.7164	3.849	S_U	2.0	n/a	n/a	1.0	1.91	Sem/Sem_run-01/stereo_2SU82A0.wav	1.0	0	1.66
155.5691	3.934	S_C	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/ContS13.wav	n/a	0	n/a
159.506	4.309	S_L	1.0	n/a	n/a	1.0	2.271	Sem/Sem_run-01/stereo_2SL64A0.wav	1.0	1	2.021
163.8257	4.413	S_C	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/ContS17.wav	n/a	0	n/a
168.2456	4.2	S_U	2.0	n/a	n/a	2.0	1.3459999999999999	Sem/Sem_run-01/stereo_2SU90A0.wav	2.0	1	1.096
172.4489	3.846	S_U	2.0	n/a	n/a	1.0	1.53	Sem/Sem_run-01/stereo_2SU88A0.wav	1.0	0	1.28
176.3017	3.3939999999999997	S_C	1.0	n/a	n/a	n/a	n/a	Sem/Sem_run-01/ContS01.wav	n/a	0	n/a
179.7041	4.013	S_C	1.0	n/a	n/a	1.0	0.775	Sem/Sem_run-01/ContS23.wav	1.0	1	1.525
183.7237	4.227	S_H	1.0	n/a	n/a	1.0	2.155	Sem/Sem_run-01/stereo_1SH08A0.wav	1.0	1	1.9049999999999998
