onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.067	7.034	SP_W	1.0	n/a	n/a	1.0	4.218	Plaus/Plaus_run-01/stereo_PW85.wav	1.0	1	2.0709999999999997
8.106	5.641	SP_I	2.0	n/a	n/a	2.0	2.813	Plaus/Plaus_run-01/stereo_PI11.wav	2.0	1	1.893
13.76	6.77	SP_C	1.0	1.0	0.708	1.0	1.4580000000000002	Plaus/Plaus_run-01/CoM08b.wav	1.0	1	0.708
20.532	7.327000000000001	SP_W	1.0	n/a	n/a	1.0	4.777	Plaus/Plaus_run-01/stereo_PW72.wav	1.0	1	2.797
27.871	6.145	SP_C	1.0	n/a	n/a	1.0	0.428	Plaus/Plaus_run-01/CoM05d.wav	1.0	1	1.178
34.026	5.181	SP_I	2.0	n/a	n/a	2.0	2.9130000000000003	Plaus/Plaus_run-01/stereo_PI65.wav	2.0	1	1.971
39.213	5.092	SP_S	1.0	n/a	n/a	1.0	2.992	Plaus/Plaus_run-01/stereo_PC13.wav	1.0	1	1.9289999999999998
44.317	7.355	SP_C	1.0	n/a	n/a	1.0	0.198	Plaus/Plaus_run-01/CoM06l.wav	1.0	1	0.948
51.673	7.47	SP_I	2.0	n/a	n/a	2.0	4.288	Plaus/Plaus_run-01/stereo_PI90.wav	2.0	1	2.1170000000000004
59.145	7.399	SP_S	1.0	n/a	n/a	1.0	4.274	Plaus/Plaus_run-01/stereo_PC35.wav	1.0	1	2.007
66.551	5.685	SP_S	1.0	n/a	n/a	1.0	2.937	Plaus/Plaus_run-01/stereo_PC47.wav	1.0	1	1.9279999999999997
72.238	5.669	SP_W	1.0	n/a	n/a	n/a	n/a	Plaus/Plaus_run-01/stereo_PW19.wav	n/a	0	n/a
77.90899999999998	7.9	SP_C	1.0	n/a	n/a	1.0	0.127	Plaus/Plaus_run-01/CoM03l.wav	1.0	1	0.877
85.815	5.145	SP_I	2.0	n/a	n/a	2.0	2.9810000000000003	Plaus/Plaus_run-01/stereo_PI09.wav	2.0	1	1.9730000000000005
90.969	6.9170000000000025	SP_W	1.0	n/a	n/a	1.0	3.88	Plaus/Plaus_run-01/stereo_PW30.wav	1.0	1	1.7599999999999998
97.891	5.738	SP_S	1.0	n/a	n/a	2.0	3.946	Plaus/Plaus_run-01/stereo_PC14.wav	2.0	0	2.7750000000000004
103.629	6.276	SP_W	1.0	n/a	n/a	1.0	3.335	Plaus/Plaus_run-01/stereo_PW50.wav	1.0	1	2.513
109.917	5.49	SP_C	1.0	n/a	n/a	1.0	0.075	Plaus/Plaus_run-01/CoM03d.wav	1.0	1	0.825
