onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.084	7.632999999999999	G_P	2.0	n/a	n/a	1.0	4.016	Gram/Gram_run-02/stereo_1MP45U4.wav	1.0	0	1.8849999999999998
8.722999999999999	7.315	G_F	2.0	n/a	n/a	2.0	4.7330000000000005	Gram/Gram_run-02/stereo_1MF20U4.wav	2.0	1	4.023
16.045	6.2829999999999995	G_P	2.0	n/a	n/a	1.0	3.9389999999999996	Gram/Gram_run-02/stereo_1MP34U2.wav	1.0	0	2.847
22.333	6.195	G_C	1.0	n/a	n/a	1.0	4.221	Gram/Gram_run-02/CoM06d.wav	1.0	1	4.971
28.538	6.221	G_G	1.0	n/a	n/a	2.0	4.441	Gram/Gram_run-02/stereo_1MF02G1.wav	2.0	0	2.401
34.759	5.801	G_F	2.0	n/a	n/a	1.0	4.52	Gram/Gram_run-02/stereo_2MF64U3.wav	1.0	0	5.27
40.564	6.78	G_C	1.0	n/a	n/a	1.0	4.636	Gram/Gram_run-02/CoM07l.wav	1.0	1	5.386
47.352	6.084	G_F	2.0	n/a	n/a	2.0	3.3819999999999997	Gram/Gram_run-02/stereo_2MF56U2.wav	2.0	1	4.132
53.44	7.5470000000000015	G_F	2.0	n/a	n/a	1.0	5.507000000000001	Gram/Gram_run-02/stereo_1MF21U4.wav	1.0	0	4.756000000000001
60.996	6.482	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_1MF24G4.wav	n/a	0	n/a
67.484	6.7810000000000015	G_P	2.0	n/a	n/a	1.0	5.393	Gram/Gram_run-02/stereo_2MP76U1.wav	1.0	0	3.1310000000000002
74.273	6.643	G_P	2.0	n/a	n/a	1.0	5.18	Gram/Gram_run-02/stereo_2MP80U2.wav	1.0	0	4.224
80.928	7.69	G_C	1.0	n/a	n/a	1.0	3.863	Gram/Gram_run-02/CoM06e.wav	1.0	1	4.6129999999999995
88.633	6.352	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-02/stereo_2MF63U3.wav	n/a	0	n/a
